#{"t_start": 1710501337.5015383, "env_id": "None"}
r,l,t
57.150479,199,872.47765
73.352506,199,876.043262
33.917097,199,879.706868
57.603431,199,884.195984
48.396508,199,887.845452
17.99728,199,891.437186
64.507721,199,895.041708
67.01201,199,898.630632
61.646189,199,902.270166
81.830073,199,905.950763
71.064844,199,909.563728
32.504451,199,913.185436
57.355861,199,916.799166
30.442162,199,921.344788
69.392021,199,924.983319
41.961973,199,928.591772
68.553265,199,932.191946
60.482936,199,935.869967
89.947251,199,939.559326
56.864847,199,943.202319
87.192768,199,946.851614
38.090922,199,950.467842
23.224484,199,954.082118
38.470885,199,957.786263
61.129809,199,962.273472
62.231268,199,965.888519
68.523512,199,969.492375
47.365873,199,973.161576
100.875574,199,976.743497
32.693267,199,980.383235
69.51379,199,983.98733
55.593192,199,987.598815
57.479594,199,991.265919
57.977925,199,994.877081
48.943013,199,999.332853
51.988403,199,1002.918231
47.177064,199,1006.589429
78.384734,199,1010.189379
73.256519,199,1013.810154
71.493374,199,1017.408575
79.955168,199,1021.006768
59.068258,199,1024.687088
56.710374,199,1028.292655
40.47261,199,1031.894324
48.050564,199,1036.390061
91.175594,199,1040.062254
24.533573,199,1043.691332
60.201655,199,1047.300898
35.816621,199,1050.88869
52.145082,199,1054.493113
61.482062,199,1058.157495
63.621126,199,1061.77272
33.78339,199,1065.382838
2.341025,199,1068.989909
69.49185,199,1072.594006
28.77373,199,1077.179341
68.436811,199,1080.787057
26.418706,199,1084.387352
77.61701,199,1088.006699
56.666328,199,1091.677171
6.576198,199,1095.28085
44.47544,199,1098.878943
40.852627,199,1102.47723
98.555768,199,1106.0773
80.128452,199,1109.757387
59.025728,199,1114.280373
46.020369,199,1117.878751
50.193851,199,1121.491333
37.660012,199,1125.168354
46.907701,199,1128.755791
69.783229,199,1132.323518
53.781093,199,1135.966832
40.115183,199,1139.577615
63.93635,199,1143.242183
79.141373,199,1146.844034
59.569371,199,1151.30899
35.951892,199,1154.908442
51.364932,199,1158.594661
48.766308,199,1162.211762
49.648861,199,1165.808929
61.963152,199,1169.406121
22.379431,199,1172.996632
36.976239,199,1176.70274
35.291796,199,1180.324374
48.430737,199,1183.926091
72.444284,199,1187.51323
76.8016,199,1191.997323
68.569952,199,1195.704265
38.872202,199,1199.291183
40.45384,199,1202.889066
58.091742,199,1206.494806
44.298394,199,1210.232979
6.850369,199,1213.885084
77.429093,199,1217.477428
90.837495,199,1221.128959
84.361385,199,1224.827355
60.30226,199,1229.326516
32.117349,199,1232.9226
54.392439,199,1236.496895
50.940829,199,1240.097924
57.491843,199,1243.783947
72.976286,199,1247.384608
49.836837,199,1250.979839
28.247423,199,1254.586887
83.584264,199,1258.194825
81.493612,199,1261.837391
43.306161,199,1266.312454
59.484235,199,1269.901466
55.641717,199,1273.512914
65.083893,199,1277.238622
72.481174,199,1280.861238
16.071966,199,1284.494989
70.275109,199,1288.120544
-33.366402,199,1291.748321
74.716681,199,1295.427676
76.406014,199,1299.002531
26.628771,199,1303.482249
65.631852,199,1307.083281
56.459704,199,1310.745805
47.317326,199,1314.401552
51.791766,199,1318.014898
42.680521,199,1321.711846
22.032348,199,1325.30469
86.560932,199,1328.993146
55.325505,199,1332.58802
12.353409,199,1336.216697
15.053536,199,1339.832246
31.712654,199,1344.379812
72.731616,199,1347.967199
32.652367,199,1351.576434
38.79086,199,1355.18751
42.444736,199,1358.793831
32.553834,199,1362.484725
41.122393,199,1366.088254
20.033231,199,1369.718799
81.365578,199,1373.321618
61.375796,199,1376.987817
30.767204,199,1381.481832
68.575103,199,1385.091151
4.160005,199,1388.684377
79.745765,199,1392.30398
40.167139,199,1395.983262
29.933428,199,1399.57142
67.229026,199,1403.200279
38.715482,199,1406.782261
59.262993,199,1410.387386
4.438107,199,1414.058846
17.841398,199,1418.582508
59.85347,199,1422.198764
51.981933,199,1425.801838
95.820127,199,1429.446295
16.435151,199,1433.098566
85.62729,199,1436.687263
63.41715,199,1440.30312
83.594036,199,1443.886963
49.560288,199,1447.560939
93.656286,199,1451.181512
52.75775,199,1454.796253
-18.810969,199,1459.295498
55.498384,199,1462.96172
68.06125,199,1466.564087
87.705085,199,1470.174936
79.47592,199,1473.791194
44.600291,199,1477.401808
28.106309,199,1481.057434
13.778877,199,1484.674545
76.194113,199,1488.282109
32.540627,199,1491.885712
56.052942,199,1496.390744
61.555818,199,1500.082696
35.821492,199,1503.692146
63.010375,199,1507.311437
11.767196,199,1510.910529
52.452074,199,1514.559154
79.053461,199,1518.176313
35.707353,199,1521.776088
46.250687,199,1525.430562
58.960723,199,1529.027464
34.431446,199,1533.593503
67.594025,199,1537.206108
78.450514,199,1540.81674
47.951259,199,1544.455217
31.971835,199,1548.019651
58.398158,199,1551.709583
72.458408,199,1555.365499
75.373194,199,1559.00063
50.34794,199,1562.594231
65.216045,199,1566.25058
56.143579,199,1570.693455
79.06009,199,1574.364172
79.598408,199,1577.978199
72.887272,199,1581.578077
81.042723,199,1585.264142
58.514023,199,1588.875889
56.524305,199,1592.478191
58.133955,199,1596.077274
77.404681,199,1599.73761
33.514545,199,1603.312199
36.48146,199,1606.931697
78.000454,199,1611.380876
58.071884,199,1614.982527
72.742353,199,1618.682683
38.877246,199,1622.280404
106.382143,199,1625.932301
45.765597,199,1629.529091
93.396593,199,1633.199961
53.212272,199,1636.781658
21.345512,199,1640.395871
55.978243,199,1643.995379
78.71657,199,1648.480703
58.56737,199,1652.163874
38.915504,199,1655.780683
9.578694,199,1659.392914
112.563821,199,1662.977055
30.879224,199,1666.645274
27.391406,199,1670.266867
71.650893,199,1673.886202
38.516576,199,1677.503007
19.018461,199,1681.118196
21.84864,199,1685.659308
106.214271,199,1689.315674
54.56488,199,1692.943041
42.941275,199,1696.583451
56.59036,199,1700.186557
101.435385,199,1703.915195
66.498337,199,1707.535402
51.505168,199,1711.192089
48.186088,199,1714.785622
73.120511,199,1718.467636
127.002014,199,1722.08313
88.376516,199,1726.595811
43.195216,199,1730.191745
48.475585,199,1733.786792
46.262311,199,1737.447454
70.69856,199,1741.057297
46.381853,199,1744.636055
26.166588,199,1748.236873
62.198384,199,1751.904092
91.368615,199,1755.556974
19.107215,199,1759.181014
14.132009,199,1763.6774
45.942342,199,1767.31662
23.555062,199,1770.982843
17.440468,199,1774.580595
104.461627,199,1778.202488
44.529011,199,1781.795813
76.622922,199,1785.450747
30.839828,199,1789.073053
27.774176,199,1792.696872
62.77356,199,1796.323323
25.932093,199,1800.796455
58.004763,199,1804.461764
53.374935,199,1808.055429
41.204945,199,1811.628751
87.316394,199,1815.231003
99.597553,199,1818.812922
59.370184,199,1822.466867
70.788803,199,1826.064964
7.396934,199,1829.667946
67.162403,199,1833.287139
-0.027941,199,1837.82966
93.240072,199,1841.399424
33.061979,199,1844.975928
52.324468,199,1848.590782
52.423086,199,1852.173258
60.758042,199,1855.876067
17.809924,199,1859.497671
97.954082,199,1863.094957
72.131243,199,1866.692692
31.986439,199,1870.341493
83.670258,199,1873.954312
