#{"t_start": 1711713967.3744276, "env_id": "None"}
r,l,t
-29.15734,199,7113.783682
-31.565798,199,7117.424312
-32.022791,199,7121.97805
-26.125761,199,7125.607555
-30.517411,199,7129.276811
-33.28687,199,7132.886823
-11.275662,199,7136.509814
-24.497724,199,7140.105777
-33.534748,199,7143.703969
-21.338498,199,7147.435005
-58.601712,199,7151.019588
-43.076708,199,7154.616028
-48.780516,199,7158.237164
-30.195484,199,7162.752656
-40.675408,199,7166.436003
-29.344403,199,7170.036946
-36.362278,199,7173.654581
-32.939856,199,7177.316893
-32.384479,199,7181.048774
-43.819731,199,7184.688506
-27.813717,199,7188.313197
-32.68683,199,7191.909595
-28.877792,199,7195.537264
-25.321924,199,7200.163716
-30.765331,199,7203.777396
-42.347599,199,7207.385294
-52.678153,199,7210.996341
-41.103173,199,7214.664517
-49.975088,199,7218.28309
-19.405247,199,7221.878144
-29.44587,199,7225.49365
-37.14585,199,7229.090965
-37.241722,199,7232.776922
-34.882223,199,7237.306034
-31.56435,199,7240.905829
-12.529389,199,7244.533074
-29.289131,199,7248.211217
-32.595743,199,7251.806462
-38.846527,199,7255.408361
-50.791731,199,7259.008778
-43.876233,199,7262.6142
-10.256284,199,7266.281624
-53.319323,199,7269.881323
-25.923741,199,7273.477778
-18.672426,199,7278.016483
-9.784365,199,7281.801243
-24.863542,199,7285.420643
-27.085911,199,7289.087861
-20.036792,199,7292.728615
-27.706879,199,7296.361522
-40.703265,199,7300.093104
-41.561909,199,7303.701735
-47.133964,199,7307.30411
-28.96602,199,7310.973204
-30.139564,199,7315.597411
-28.213773,199,7319.225013
-33.603368,199,7322.829763
-26.53221,199,7326.483443
-22.676497,199,7330.088091
-8.436918,199,7333.798272
-28.087324,199,7337.405508
-46.716146,199,7341.008446
-22.665491,199,7344.634186
-45.030866,199,7348.279177
-32.005914,199,7353.078684
-2.849833,199,7356.728702
-37.343476,199,7360.320389
-2.533208,199,7363.918132
-19.691874,199,7367.581019
-24.810588,199,7371.188323
-37.573756,199,7374.791152
-31.721782,199,7378.420012
-28.577642,199,7382.011453
-39.060265,199,7385.720558
-39.609372,199,7390.222933
-23.42018,199,7393.878315
-16.192714,199,7397.503925
-27.987725,199,7401.186262
-8.116492,199,7404.84938
-33.435011,199,7408.430488
-34.307966,199,7412.027273
-32.949871,199,7415.656474
-7.011601,199,7419.362888
-37.459848,199,7422.975934
-23.689092,199,7426.609478
-33.117915,199,7431.587936
-37.618933,199,7435.303644
-26.361039,199,7438.922653
5.416724,199,7442.503682
-27.746213,199,7446.104736
-23.342989,199,7449.690476
-18.864511,199,7453.35531
-18.275334,199,7456.970762
-24.776608,199,7460.569784
-17.087691,199,7464.189849
-20.078667,199,7468.805154
-16.263272,199,7472.468714
-7.805476,199,7476.134334
-18.351884,199,7479.750587
-19.18786,199,7483.357759
-6.053635,199,7487.06337
-13.742259,199,7490.684126
-18.492756,199,7494.299655
-8.950433,199,7497.918372
-12.922713,199,7501.503659
-16.332604,199,7506.072435
-23.277889,199,7509.680067
-22.430976,199,7513.304176
-11.20841,199,7516.949705
-26.571615,199,7520.672448
-40.180586,199,7524.29929
-24.051512,199,7527.918977
-24.607073,199,7531.568413
-43.605179,199,7535.173216
-29.125895,199,7538.836821
-31.61832,199,7542.41986
-32.8036,199,7547.013021
-35.194881,199,7550.621869
-23.483771,199,7554.207166
-36.089688,199,7557.893418
-22.594392,199,7561.497514
-31.923068,199,7565.095185
-28.253476,199,7568.695704
-29.472353,199,7572.303596
-23.669313,199,7575.983908
-21.518975,199,7579.591758
-25.711609,199,7584.156153
-25.490322,199,7587.783269
-19.533744,199,7591.458398
-10.940321,199,7595.03559
-16.977953,199,7598.627233
-38.243759,199,7602.212049
-11.56536,199,7605.83413
-15.173403,199,7609.497043
-20.48751,199,7613.092722
-29.624207,199,7616.694878
-37.477839,199,7621.171613
-30.407494,199,7624.88507
-12.493083,199,7628.492975
-25.6499,199,7632.094778
-27.422591,199,7635.69013
-19.453844,199,7639.299452
-29.958071,199,7643.050029
-33.206267,199,7646.683131
-29.821523,199,7650.295277
-10.211633,199,7653.897915
-20.331529,199,7657.562825
-25.432941,199,7662.034318
-10.943122,199,7665.633489
-24.511933,199,7669.23188
-27.319426,199,7672.822295
-29.976396,199,7676.541559
-38.406442,199,7680.133209
-24.863301,199,7683.761228
-23.016975,199,7687.370539
-25.428587,199,7690.974631
-20.147295,199,7694.661994
-24.488805,199,7699.180058
-20.591367,199,7702.801183
-18.250717,199,7706.428576
-35.905566,199,7710.120849
-14.426997,199,7713.72363
-23.9397,199,7717.326785
-20.668907,199,7720.923406
-40.623907,199,7724.507087
-18.049389,199,7728.185273
-40.264996,199,7731.798321
-7.216318,199,7736.2942
-19.507629,199,7739.904077
-33.044513,199,7743.561013
-5.210933,199,7747.169082
-21.923315,199,7750.762273
-26.438184,199,7754.371578
-27.923428,199,7757.990713
-39.635989,199,7761.685091
-41.019388,199,7765.29925
-23.563236,199,7768.909067
-24.021003,199,7773.406332
-32.376866,199,7777.079512
-14.395048,199,7780.700793
-30.596505,199,7784.28062
-28.162904,199,7787.895885
-43.361449,199,7791.50247
-12.079808,199,7795.170051
-36.713149,199,7798.78988
-39.126432,199,7802.389936
-31.780338,199,7806.017486
-19.289408,199,7809.607047
-27.333427,199,7814.167072
-44.117073,199,7817.776327
-38.705811,199,7821.382844
-17.202411,199,7824.988377
-12.63375,199,7828.586079
-28.055028,199,7832.277481
-9.597617,199,7835.89518
-18.323694,199,7839.49908
-30.022772,199,7843.085552
-27.498712,199,7846.772763
-48.313831,199,7851.260933
-19.435071,199,7854.871666
-25.955993,199,7858.468128
-30.952398,199,7862.0674
-19.855465,199,7865.740754
-22.304517,199,7869.331267
-18.204878,199,7872.932945
-15.938794,199,7876.516817
-46.518409,199,7880.190461
-17.193711,199,7883.795318
-13.353124,199,7888.362982
-17.877723,199,7891.978106
-23.71016,199,7895.590088
-26.567245,199,7899.254653
-27.51712,199,7902.868019
-29.887579,199,7906.480006
-16.116756,199,7910.111381
-34.31708,199,7913.766809
-12.355461,199,7917.427098
-27.226698,199,7921.020586
-33.358205,199,7924.610344
-29.083936,199,7929.106827
-31.733275,199,7932.777278
-33.438253,199,7936.412967
-25.844191,199,7940.008595
-28.981923,199,7943.601144
-31.331311,199,7947.22421
-31.957863,199,7950.871472
-17.620739,199,7954.47928
-25.530103,199,7958.088331
-37.379739,199,7961.692688
-25.085287,199,7966.177698
-30.877697,199,7969.869935
-18.002444,199,7973.481417
-37.646203,199,7977.094915
-25.477935,199,7980.725277
-29.663763,199,7984.415855
-19.309355,199,7988.022128
-16.82228,199,7991.618112
-26.479062,199,7995.205348
-16.424034,199,7998.797059
-30.732065,199,8003.377501
-31.221494,199,8007.024344
-16.413126,199,8010.623151
-26.740671,199,8014.218142
-27.83336,199,8017.92299
-30.711716,199,8021.524163
-39.119088,199,8025.106227
-18.113475,199,8028.723992
-30.19135,199,8032.326984
-29.679628,199,8035.980485
-29.805742,199,8040.521207
-12.335546,199,8044.105827
-20.906205,199,8047.699486
-14.594005,199,8051.411868
-17.940399,199,8055.024125
-4.087061,199,8058.627358
-26.253389,199,8062.244627
-17.780205,199,8065.858233
-22.488028,199,8069.553572
-25.552748,199,8073.188874
-14.268536,199,8076.789672
-31.54463,199,8081.412654
-13.614071,199,8085.077099
-42.211704,199,8088.700436
-28.662035,199,8092.319386
-31.560354,199,8095.952429
-40.843478,199,8099.594918
-28.192322,199,8103.289959
-18.709927,199,8106.921249
-36.180379,199,8110.549482
-29.095147,199,8114.192683
-33.476413,199,8118.981468
-46.674015,199,8122.647734
-16.72165,199,8126.283679
-30.375271,199,8129.89448
-24.142679,199,8133.496051
-28.08866,199,8137.149024
-22.122152,199,8140.725987
-29.947111,199,8144.346788
-16.392216,199,8147.928144
-28.64588,199,8151.555538
-28.530004,199,8156.150808
-13.999419,199,8159.803903
-44.782019,199,8163.416816
-39.827661,199,8167.008648
-35.594502,199,8170.674499
-65.882759,199,8174.276745
-47.973541,199,8177.879039
1.158871,199,8181.478072
-11.864495,199,8185.090069
-6.953464,199,8188.763596
-35.737182,199,8192.386144
-36.21601,199,8196.912238
-48.409514,199,8200.518952
-44.006118,199,8204.174344
-52.120884,199,8207.783648
-28.270523,199,8211.390721
-37.86057,199,8215.002967
