#{"t_start": 1711781886.422358, "env_id": "None"}
r,l,t
16.541465,199,3050.882461
-38.3412,199,3054.486948
-13.427007,199,3059.029357
-20.028905,199,3062.606868
-57.747146,199,3066.20842
-46.549423,199,3069.801872
-15.134796,199,3073.405906
-13.705267,199,3077.049086
-8.683216,199,3080.625324
-13.583979,199,3084.222538
-35.916621,199,3087.808902
-23.645047,199,3091.465022
-23.790988,199,3095.883179
0.619479,199,3099.493265
-61.894384,199,3103.098163
-10.251803,199,3106.693021
-12.832292,199,3110.36198
-29.005531,199,3113.964568
-14.156232,199,3117.564754
-8.299046,199,3121.16189
-50.802296,199,3124.765684
-26.315416,199,3128.434165
-9.963122,199,3132.807652
-86.104672,199,3136.391999
-27.741274,199,3140.006087
0.492065,199,3143.649724
-42.658242,199,3147.255272
-17.406039,199,3150.845513
-29.771044,199,3154.47164
-25.479168,199,3158.083249
9.170218,199,3161.771858
-2.347215,199,3165.404947
-19.209471,199,3169.006284
4.052952,199,3173.440566
3.330759,199,3177.150304
8.512055,199,3180.747263
11.744437,199,3184.383779
9.206307,199,3188.00105
-19.582901,199,3191.605176
-4.186162,199,3195.291116
13.022679,199,3198.900917
5.882646,199,3202.488357
-6.928682,199,3206.087984
-14.437284,199,3210.575971
-15.8561,199,3214.170822
2.479517,199,3217.799311
-4.951752,199,3221.386442
-1.269315,199,3224.990845
-18.552949,199,3228.6709
28.815172,199,3232.299731
20.089974,199,3235.915433
-34.527921,199,3239.501218
14.596726,199,3243.104056
8.676881,199,3247.565372
-1.432323,199,3251.188545
9.850821,199,3254.787601
16.877272,199,3258.388888
-24.796437,199,3262.073489
-27.65305,199,3265.673293
-11.820795,199,3269.272818
-14.237505,199,3272.873645
14.641196,199,3276.499172
-22.675528,199,3280.154687
-36.814098,199,3283.771239
13.563815,199,3288.178306
-14.27413,199,3291.783742
-8.584284,199,3295.45446
-33.949991,199,3299.056681
-36.233328,199,3302.668982
-4.394699,199,3306.271738
-59.074388,199,3309.870482
-63.294131,199,3313.544248
-32.073622,199,3317.141353
-6.447289,199,3320.722468
-23.517805,199,3325.153402
-14.942962,199,3328.83877
-13.791374,199,3332.429855
-2.657317,199,3336.018476
12.118722,199,3339.604446
8.568082,199,3343.218753
-7.203691,199,3346.887451
-22.285741,199,3350.487918
1.959824,199,3354.091138
5.787987,199,3357.689304
-22.471545,199,3362.119833
5.050655,199,3365.838266
-27.622004,199,3369.453096
-11.399947,199,3373.090821
-22.302351,199,3376.701321
-3.390459,199,3380.363359
6.820136,199,3383.939428
-13.079207,199,3387.552273
-32.969009,199,3391.134824
3.301022,199,3394.781927
3.927833,199,3399.257832
-2.387845,199,3402.876123
10.920041,199,3406.487106
6.88031,199,3410.094629
-40.623372,199,3413.781025
11.473715,199,3417.3897
-0.091884,199,3420.991394
-3.606964,199,3424.601502
-8.917982,199,3428.194128
5.668362,199,3431.866715
10.133402,199,3435.472566
9.504717,199,3439.888715
27.185243,199,3443.511241
-10.572647,199,3447.171124
6.189619,199,3450.77547
3.003761,199,3454.397122
-10.85298,199,3457.99548
-1.731132,199,3461.60369
-31.756773,199,3465.283
-8.777996,199,3468.894885
-31.664375,199,3472.491923
-27.368757,199,3476.919513
-13.212619,199,3480.581406
-5.917283,199,3484.18731
-17.02165,199,3487.79451
8.396122,199,3491.389418
